Time,Label,Error Code,Error Message,URL
"2025-02-25 08:12:54",CP02_AC01_NuevaMascota,502,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:13:37",CP02_AC01_NuevaMascota,502,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:14:48",CP02_AC01_NuevaMascota,500,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:15:22",CP02_AC01_NuevaMascota,500,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:16:13",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:17:53",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:18:39",CP02_AC01_NuevaMascota,502,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:18:41",CP01_AC02_Buscar,500,"Internal Server error",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:19:48",CP01_AC02_Buscar,500,"Internal Server error",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:20:04",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:22:53",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:23:36",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:23:37",CP02_AC01_NuevaMascota,502,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:23:46",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:23:57",CP01_AC01_Inventario,500,"Server Error",https://petstore.swagger.io/v2/store/inventory
"2025-02-25 08:24:36",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:25:34",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:26:04",CP02_AC01_NuevaMascota,500,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:26:59",CP01_AC02_Buscar,500,"Internal Server error",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:29:07",CP01_AC02_Buscar,500,"Internal Server error",https://petstore.swagger.io/v2/pet/10
"2025-02-25 08:29:18",CP02_AC01_NuevaMascota,500,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:31:34",CP02_AC01_NuevaMascota,500,"Internal Server error",https://petstore.swagger.io/v2/pet
"2025-02-25 08:31:39",CP01_AC02_Buscar,403,"Unatuhorized",https://petstore.swagger.io/v2/pet/10
