Time,Label,Elapsed
"2025-02-25 16:34:45",CP01_AC00_Buscar_Vuelos::,639
"2025-02-25 16:34:45",CP01_AC01_Buscar,639
"2025-02-25 16:34:46",CP02_AC00_SeleccionaVuelo::,696
"2025-02-25 16:34:50",CP02_AC01_SeleccionaVuelo,696
"2025-02-25 16:34:51",CP03_AC00_Comprar_Vuelo::,1623
"2025-02-25 16:34:55",CP03_AC01_Comprar_Vuelo_Pursache,470
"2025-02-25 16:35:00",CP03_AC02_Comprar_Vuelo_Confirmacion,1153
"2025-02-25 16:35:01",CP04_AC00_Home::,399
"2025-02-25 16:35:05",CP04_AC01_Home,399
"2025-02-25 16:35:06",CP01_AC00_Buscar_Vuelos::,401
"2025-02-25 16:35:10",CP01_AC01_Buscar,401
"2025-02-25 16:35:11",CP02_AC00_SeleccionaVuelo::,332
"2025-02-25 16:35:15",CP02_AC01_SeleccionaVuelo,332
"2025-02-25 16:35:15",CP01_AC00_Buscar_Vuelos::,640
"2025-02-25 16:35:15",CP01_AC01_Buscar,640
"2025-02-25 16:35:16",CP03_AC00_Comprar_Vuelo::,5859
"2025-02-25 16:35:16",CP02_AC00_SeleccionaVuelo::,958
"2025-02-25 16:35:20",CP03_AC01_Comprar_Vuelo_Pursache,285
"2025-02-25 16:35:20",CP02_AC01_SeleccionaVuelo,958
"2025-02-25 16:35:21",CP03_AC00_Comprar_Vuelo::,932
"2025-02-25 16:35:25",CP03_AC01_Comprar_Vuelo_Pursache,353
"2025-02-25 16:35:25",CP03_AC02_Comprar_Vuelo_Confirmacion,5574
"2025-02-25 16:35:30",CP03_AC02_Comprar_Vuelo_Confirmacion,579
"2025-02-25 16:35:31",CP04_AC00_Home::,398
"2025-02-25 16:35:31",CP04_AC00_Home::,301
"2025-02-25 16:35:31",CP04_AC01_Home,301
"2025-02-25 16:35:31",CP01_AC00_Buscar_Vuelos::,1333
"2025-02-25 16:35:35",CP04_AC01_Home,398
"2025-02-25 16:35:36",CP01_AC00_Buscar_Vuelos::,1228
"2025-02-25 16:35:36",CP01_AC01_Buscar,1333
"2025-02-25 16:35:37",CP02_AC00_SeleccionaVuelo::,842
"2025-02-25 16:35:40",CP01_AC01_Buscar,1228
"2025-02-25 16:35:41",CP02_AC01_SeleccionaVuelo,842
"2025-02-25 16:35:42",CP02_AC00_SeleccionaVuelo::,885
"2025-02-25 16:35:42",CP03_AC00_Comprar_Vuelo::,2847
"2025-02-25 16:35:45",CP01_AC00_Buscar_Vuelos::,649
"2025-02-25 16:35:45",CP01_AC01_Buscar,649
"2025-02-25 16:35:45",CP02_AC01_SeleccionaVuelo,885
"2025-02-25 16:35:46",CP03_AC01_Comprar_Vuelo_Pursache,1871
"2025-02-25 16:35:46",CP02_AC00_SeleccionaVuelo::,709
"2025-02-25 16:35:46",CP03_AC00_Comprar_Vuelo::,2699
"2025-02-25 16:35:50",CP02_AC01_SeleccionaVuelo,709
"2025-02-25 16:35:50",CP03_AC01_Comprar_Vuelo_Pursache,1876
