Time,ActiveThreads
"2024-12-09 11:55:51",1
"2024-12-09 11:56:04",1
"2024-12-09 11:56:16",1
"2024-12-09 11:56:19",2
"2024-12-09 11:56:28",2
"2024-12-09 11:56:31",2
"2024-12-09 11:56:39",2
"2024-12-09 11:56:44",2
"2024-12-09 11:56:46",3
"2024-12-09 11:56:53",3
"2024-12-09 11:56:55",3
"2024-12-09 11:56:58",3
"2024-12-09 11:57:03",3
"2024-12-09 11:57:07",3
"2024-12-09 11:57:11",3
"2024-12-09 11:57:14",4
"2024-12-09 11:57:16",4
"2024-12-09 11:57:19",4
"2024-12-09 11:57:22",4
"2024-12-09 11:57:26",4
"2024-12-09 11:57:28",4
"2024-12-09 11:57:31",4
"2024-12-09 11:57:34",4
"2024-12-09 11:57:38",4
"2024-12-09 11:57:39",5
"2024-12-09 11:57:41",5
"2024-12-09 11:57:43",5
"2024-12-09 11:57:48",5
"2024-12-09 11:57:49",5
"2024-12-09 11:57:52",5
"2024-12-09 11:57:53",5
"2024-12-09 11:57:56",5
"2024-12-09 11:57:58",5
"2024-12-09 11:58:02",5
"2024-12-09 11:58:05",5
"2024-12-09 11:58:05",5
"2024-12-09 11:58:07",6
"2024-12-09 11:58:08",6
"2024-12-09 11:58:10",6
"2024-12-09 11:58:14",6
"2024-12-09 11:58:15",6
"2024-12-09 11:58:16",6
"2024-12-09 11:58:19",6
"2024-12-09 11:58:20",6
"2024-12-09 11:58:23",6
"2024-12-09 11:58:26",6
"2024-12-09 11:58:28",6
"2024-12-09 11:58:29",6
"2024-12-09 11:58:32",6
"2024-12-09 11:58:33",6
"2024-12-09 11:58:34",7
"2024-12-09 11:58:36",7
"2024-12-09 11:58:37",7
"2024-12-09 11:58:41",7
"2024-12-09 11:58:41",7
"2024-12-09 11:58:43",7
"2024-12-09 11:58:43",7
"2024-12-09 11:58:46",7
"2024-12-09 11:58:47",7
"2024-12-09 11:58:51",7
"2024-12-09 11:58:51",7
"2024-12-09 11:58:53",7
"2024-12-09 11:58:55",7
"2024-12-09 11:58:56",7
"2024-12-09 11:58:59",7
"2024-12-09 11:59:00",7
"2024-12-09 11:59:01",8
"2024-12-09 11:59:02",8
"2024-12-09 11:59:04",8
"2024-12-09 11:59:04",8
"2024-12-09 11:59:08",8
"2024-12-09 11:59:10",8
"2024-12-09 11:59:10",8
"2024-12-09 11:59:11",8
"2024-12-09 11:59:14",8
"2024-12-09 11:59:14",8
"2024-12-09 11:59:17",8
"2024-12-09 11:59:19",8
"2024-12-09 11:59:19",8
"2024-12-09 11:59:20",8
"2024-12-09 11:59:22",8
"2024-12-09 11:59:23",8
"2024-12-09 11:59:26",8
"2024-12-09 11:59:27",8
"2024-12-09 11:59:28",8
"2024-12-09 11:59:28",9
"2024-12-09 11:59:30",9
"2024-12-09 11:59:31",9
"2024-12-09 11:59:32",9
"2024-12-09 11:59:36",9
"2024-12-09 11:59:36",9
"2024-12-09 11:59:37",9
"2024-12-09 11:59:39",9
"2024-12-09 11:59:40",9
"2024-12-09 11:59:41",9
"2024-12-09 11:59:42",9
"2024-12-09 11:59:44",9
"2024-12-09 11:59:45",9
"2024-12-09 11:59:46",9
"2024-12-09 11:59:47",9
"2024-12-09 11:59:50",9
"2024-12-09 11:59:51",9
"2024-12-09 11:59:53",9
"2024-12-09 11:59:54",9
"2024-12-09 11:59:55",9
"2024-12-09 11:59:55",9
"2024-12-09 11:59:56",10
"2024-12-09 11:59:57",10
"2024-12-09 11:59:58",10
"2024-12-09 11:59:59",10
