Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,464,0,695,388,455,61,0,0.00,0.39
CP01_AC01_Buscar,463,333,695,388,455,58,0,0.00,0.39
CP02_AC00_SeleccionaVuelo::,463,0,18427,345,368,843,0,0.00,0.39
CP02_AC01_SeleccionaVuelo,460,248,18427,347,368,846,0,0.00,0.39
CP03_AC00_Comprar_Vuelo::,457,290,51772,761,755,2487,0,0.00,0.39
CP03_AC01_Comprar_Vuelo_Pursache,458,247,14977,341,370,687,0,0.00,0.38
CP03_AC02_Comprar_Vuelo_Confirmacion,455,255,51489,421,379,2397,0,0.00,0.38
CP04_AC00_Home::,454,0,51633,433,371,2414,0,0.00,0.38
CP04_AC01_Home,453,258,51633,434,371,2417,0,0.00,0.39
Total,2289,247,51633,386,389,1281,0,0.00,1.93
