Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,876,0,9263,478,486,721,0,0.00,0.49
CP01_AC01_Buscar,867,301,9263,483,486,723,0,0.00,0.48
CP02_AC00_SeleccionaVuelo::,867,0,1639,314,372,81,0,0.00,0.48
CP02_AC01_SeleccionaVuelo,866,215,1639,314,372,80,0,0.00,0.48
CP03_AC00_Comprar_Vuelo::,865,256,1878,638,746,120,4,0.46,0.48
CP03_AC01_Comprar_Vuelo_Pursache,865,217,1072,314,376,71,0,0.00,0.48
CP03_AC02_Comprar_Vuelo_Confirmacion,861,224,989,326,383,80,4,0.46,0.48
CP04_AC00_Home::,857,223,1198,319,380,76,0,0.00,0.48
CP04_AC01_Home,857,223,1198,319,380,76,0,0.00,0.48
Total,4316,215,9263,351,399,206,4,0.09,2.40
