Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,555,356,8556,520,470,865,0,0.00,0.31
CP01_AC02_Buscar,552,88,216,112,123,13,0,0.00,0.31
CP02_AC01_NuevaMascota,546,90,296,113,123,16,0,0.00,0.31
Total,1653,88,8556,248,239,298,0,0.00,0.93
