Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Lista,1141,260,2817420,5233,308,117839,0,0.00,0.34
CP01_AC02_ListaObjetos,1101,232,2817232,2811,260,84858,0,0.00,0.33
CP01_AC03_BuscaObjeto,1082,232,2817278,2857,260,85601,0,0.00,0.33
CP01_AC04_AddObjecto,1060,231,2817328,2911,261,86485,8,0.75,0.32
CP01_AC05_ActualizaObjeto,1031,232,2817369,2983,260,87693,0,0.00,0.31
Total,5415,231,2817420,3359,270,92495,8,0.15,1.63
