Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Lista,3030,251,21334,319,331,545,0,0.00,1.68
CP01_AC02_ListaObjetos,3020,220,6473,263,274,130,0,0.00,1.68
CP01_AC03_BuscaObjeto,3009,221,3476,261,274,85,0,0.00,1.68
CP01_AC04_AddObjecto,2996,222,859,262,275,67,30,1.00,1.68
CP01_AC05_ActualizaObjeto,2963,221,4127,263,273,99,0,0.00,1.66
Total,15018,220,21334,274,285,185,30,0.20,8.38
