Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Lista,6077,248,1280,288,303,44,0,0.00,3.38
CP01_AC02_ListaObjetos,6062,223,671,251,264,32,0,0.00,3.38
CP01_AC03_BuscaObjeto,6050,223,627,251,264,32,0,0.00,3.38
CP01_AC04_AddObjecto,6031,223,765,252,264,32,178,2.95,3.38
CP01_AC05_ActualizaObjeto,5828,223,635,252,264,34,0,0.00,3.28
Total,30048,223,1280,259,272,35,178,0.59,16.80
