Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,353,352,21400,472,462,1118,0,0.00,0.30
CP01_AC02_Buscar,348,87,508,113,123,25,348,100.00,0.29
Total,701,87,21400,293,293,572,348,49.64,0.59
