Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,1001,0,7670,467,513,388,0,0.00,0.56
CP01_AC01_Buscar,996,341,7670,469,513,388,0,0.00,0.55
CP02_AC00_SeleccionaVuelo::,996,0,2127,333,400,123,0,0.00,0.55
CP02_AC01_SeleccionaVuelo,992,234,2127,334,400,121,0,0.00,0.55
CP03_AC00_Comprar_Vuelo::,992,10,3127,680,786,175,1,0.10,0.55
CP03_AC01_Comprar_Vuelo_Pursache,992,8,1615,335,401,100,1,0.10,0.55
CP03_AC02_Comprar_Vuelo_Confirmacion,988,235,1651,346,407,109,0,0.00,0.55
CP04_AC00_Home::,988,0,2689,344,422,148,0,0.00,0.55
CP04_AC01_Home,986,237,2689,344,422,148,0,0.00,0.55
Total,4954,8,7670,366,429,173,1,0.02,2.75
