Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Lista,3024,251,1415,289,304,54,0,0.00,1.68
CP01_AC02_ListaObjetos,3015,222,1750,252,263,53,0,0.00,1.68
CP01_AC03_BuscaObjeto,3005,223,620,249,263,30,40,1.33,1.68
CP01_AC04_AddObjecto,2995,224,700,251,263,34,0,0.00,1.68
CP01_AC05_ActualizaObjeto,2985,224,1351,250,262,39,56,1.88,1.68
Total,15024,222,1750,258,271,42,96,0.64,8.40
