Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,473,0,1360,407,453,102,0,0.00,0.40
CP01_AC01_Buscar,472,330,1360,408,453,100,0,0.00,0.40
CP02_AC00_SeleccionaVuelo::,472,0,790,291,330,45,0,0.00,0.40
CP02_AC01_SeleccionaVuelo,469,215,790,293,330,39,0,0.00,0.39
CP03_AC00_Comprar_Vuelo::,466,268,1073,595,657,72,12,2.58,0.39
CP03_AC01_Comprar_Vuelo_Pursache,466,235,533,294,323,28,12,2.58,0.39
CP03_AC02_Comprar_Vuelo_Confirmacion,453,232,792,310,360,42,0,0.00,0.38
CP04_AC00_Home::,453,0,427,294,329,36,0,0.00,0.38
CP04_AC01_Home,450,220,427,296,329,27,0,0.00,0.38
Total,2310,215,1360,320,359,47,12,0.52,1.94
