Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,570,351,828,382,422,44,1,0.18,0.48
CP01_AC02_Buscar,564,86,137,93,101,6,13,2.30,0.47
CP02_AC01_NuevaMascota,549,87,157,102,110,8,9,1.64,0.46
Total,1683,86,828,192,211,19,23,1.37,1.41
