Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,1327,351,8649,543,450,849,0,0.00,0.74
CP01_AC02_Buscar,1322,86,755,99,107,30,11,0.83,0.74
CP02_AC01_NuevaMascota,1308,87,1000,111,120,44,14,1.07,0.73
Total,3957,86,8649,251,226,308,25,0.63,2.21
