Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,983,348,8483,439,442,424,12,1.22,0.55
CP01_AC02_Buscar,966,88,1370,114,124,42,53,5.49,0.54
CP02_AC01_NuevaMascota,905,89,1103,113,124,35,44,4.86,0.51
Total,2854,88,8483,222,230,167,109,3.82,1.60
