Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,575,351,714,385,425,41,0,0.00,0.48
CP01_AC02_Buscar,572,87,346,95,105,14,34,5.94,0.48
CP02_AC01_NuevaMascota,537,86,628,105,113,25,32,5.96,0.45
Total,1684,86,714,195,214,27,66,3.92,1.41
