Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Lista,6061,257,1057,293,313,36,0,0.00,3.37
CP01_AC02_ListaObjetos,6048,229,625,250,266,24,0,0.00,3.37
CP01_AC03_BuscaObjeto,6023,229,620,250,266,26,0,0.00,3.37
CP01_AC04_AddObjecto,6000,230,668,250,266,26,65,1.08,3.36
CP01_AC05_ActualizaObjeto,5916,230,607,250,266,26,0,0.00,3.32
Total,30048,229,1057,259,275,28,65,0.22,16.79
