Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,471,0,7788,1102,2293,1122,0,0.00,0.39
CP01_AC01_Buscar,470,353,7788,1104,2293,1122,0,0.00,0.39
CP02_AC00_SeleccionaVuelo::,470,0,6545,975,2305,1102,0,0.00,0.39
CP02_AC01_SeleccionaVuelo,468,238,6545,979,2356,1103,0,0.00,0.39
CP03_AC00_Comprar_Vuelo::,468,294,10803,1881,4038,1564,22,4.70,0.39
CP03_AC01_Comprar_Vuelo_Pursache,468,242,5943,902,1844,1000,5,1.07,0.39
CP03_AC02_Comprar_Vuelo_Confirmacion,460,241,7660,997,2366,1207,17,3.70,0.39
CP04_AC00_Home::,443,0,9054,917,1894,1093,0,0.00,0.37
CP04_AC01_Home,438,242,9054,928,1939,1095,0,0.00,0.37
Total,2304,238,9054,982,2160,1105,22,0.95,1.93
