Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,175,350,700,414,474,64,0,0.00,0.25
CP01_AC02_Buscar,172,90,337,113,124,22,3,1.74,0.25
CP02_AC01_NuevaMascota,166,89,204,111,124,14,5,3.01,0.24
Total,513,89,700,213,241,33,8,1.56,0.74
