Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,6098,350,21444,400,425,604,0,0.00,3.33
CP01_AC02_Buscar,6055,86,622,93,103,13,0,0.00,3.32
CP02_AC01_NuevaMascota,6055,87,745,102,109,17,60,0.99,3.32
Total,18208,86,21444,198,212,211,60,0.33,9.97
