Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,1,379,379,379,379,0,0,0.00,0.00
CP01_AC01_Buscar,1,379,379,379,379,0,0,0.00,0.00
CP02_AC00_SeleccionaVuelo::,2,695,898,797,898,102,0,0.00,0.22
CP02_AC01_SeleccionaVuelo,2,695,898,797,898,102,0,0.00,0.22
CP03_AC00_Comprar_Vuelo::,2,772,1015,894,1015,122,0,0.00,0.22
CP03_AC01_Comprar_Vuelo_Pursache,2,480,604,542,604,62,0,0.00,0.22
CP03_AC02_Comprar_Vuelo_Confirmacion,2,292,411,352,411,60,0,0.00,0.22
CP04_AC00_Home::,2,295,742,519,742,224,0,0.00,0.21
CP04_AC01_Home,2,295,742,519,742,224,0,0.00,0.21
Total,9,292,898,518,607,90,0,0.00,0.87
