Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,1119,0,8457,491,520,570,0,0.00,0.62
CP01_AC01_Buscar,1116,300,8457,492,520,570,0,0.00,0.62
CP02_AC00_SeleccionaVuelo::,1116,0,8947,397,380,624,0,0.00,0.62
CP02_AC01_SeleccionaVuelo,1115,218,8947,397,380,624,0,0.00,0.62
CP03_AC00_Comprar_Vuelo::,1113,247,9232,755,798,827,137,12.31,0.62
CP03_AC01_Comprar_Vuelo_Pursache,1113,220,7615,378,380,487,46,4.13,0.62
CP03_AC02_Comprar_Vuelo_Confirmacion,1061,228,7162,395,413,491,91,8.58,0.59
CP04_AC00_Home::,970,0,5117,369,397,417,0,0.00,0.54
CP04_AC01_Home,962,225,5117,372,398,417,0,0.00,0.54
Total,5367,218,8947,407,418,518,137,2.55,2.99
