Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Inventario,237,355,8657,485,490,698,0,0.00,0.20
CP01_AC02_Buscar,233,90,168,112,124,11,0,0.00,0.20
CP02_AC01_NuevaMascota,232,91,191,113,122,14,0,0.00,0.20
Total,702,90,8657,237,245,241,0,0.00,0.60
