Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC01_Lista,4745,256,778,283,297,38,0,0.00,3.80
CP01_AC02_ListaObjetos,4714,230,596,245,253,31,0,0.00,3.79
CP01_AC03_BuscaObjeto,4664,230,577,245,253,29,60,1.29,3.76
CP01_AC04_AddObjecto,4631,230,598,245,253,28,265,5.72,3.75
CP01_AC05_ActualizaObjeto,4334,230,659,245,253,30,83,1.92,3.52
Total,23088,230,778,253,262,31,408,1.77,18.62
